index,date,home_team,away_team,result,pso,competition,neutral_pitch
0,2018-06-04,IND,KEN,3:0,,Friendly 2018,False
1,2018-06-04,ARM,MDA,0:0,,Friendly 2018,True
2,2018-06-04,ITA,NED,1:1,,Friendly 2018,False
3,2018-06-04,SRB,CHI,0:1,,Friendly 2018,True
4,2018-06-04,SVK,MAR,1:2,,Friendly 2018,True
5,2018-06-05,SWZ,BOT,0:2,,COSAFA Cup 2018,True
6,2018-06-05,RSA,NAM,4:1,,COSAFA Cup 2018,False
7,2018-06-05,LTU,LVA,1:1,,Friendly 2018,False
8,2018-06-05,TPE,NZL,0:1,,Friendly 2018,True
9,2018-06-05,KAZ,AZE,3:0,,Friendly 2018,False
10,2018-06-05,LUX,GEO,1:0,,Friendly 2018,False
11,2018-06-05,ROU,FIN,2:0,,Friendly 2018,False
12,2018-06-05,RUS,TUR,1:1,,Friendly 2018,False
13,2018-06-06,NOR,PAN,1:0,,Friendly 2018,False
14,2018-06-06,NGA,CZE,0:1,,Friendly 2018,True
15,2018-06-06,BEL,EGY,3:0,,Friendly 2018,False
16,2018-06-06,ZAM,MAD,1:0,,COSAFA Cup 2018,True
17,2018-06-06,LES,ZIM,0:0 a.e.t.,1:3,COSAFA Cup 2018,True
18,2018-06-06,BLR,HUN,1:1,,Friendly 2018,False
19,2018-06-07,IND,NZL,1:2,,Friendly 2018,True
20,2018-06-07,ENG,CRC,2:0,,Friendly 2018,False
21,2018-06-07,ISL,GHA,2:2,,Friendly 2018,False
22,2018-06-07,KOR,BOL,0:0,,Friendly 2018,True
23,2018-06-07,POR,ALG,3:0,,Friendly 2018,False
24,2018-06-07,URU,UZB,3:0,,Friendly 2018,False
25,2018-06-08,IRN,LTU,1:0,,Friendly 2018,True
26,2018-06-08,SUI,JPN,2:0,,Friendly 2018,False
27,2018-06-08,POL,CHI,2:2,,Friendly 2018,False
28,2018-06-08,GER,KSA,2:1,,Friendly 2018,False
29,2018-06-08,TPE,KEN,0:4,,Friendly 2018,True
30,2018-06-08,RSA,BOT,3:0,,COSAFA Cup 2018,False
31,2018-06-08,MAD,LES,0:1,,COSAFA Cup 2018,True
32,2018-06-08,CRO,SEN,2:1,,Friendly 2018,False
33,2018-06-09,TUN,ESP,0:1,,Friendly 2018,True
34,2018-06-09,SRB,BOL,5:1,,Friendly 2018,True
35,2018-06-09,LVA,AZE,1:3,,Friendly 2018,False
36,2018-06-09,HUN,AUS,1:2,,Friendly 2018,False
37,2018-06-09,SWE,PER,0:0,,Friendly 2018,False
38,2018-06-09,FIN,BLR,2:0,,Friendly 2018,False
39,2018-06-09,EST,MAR,1:3,,Friendly 2018,False
40,2018-06-09,DEN,MEX,2:0,,Friendly 2018,False
41,2018-06-09,ZAM,ZIM,2:4 a.e.t.,,COSAFA Cup 2018,True
42,2018-06-09,FRA,USA,1:1,,Friendly 2018,False
43,2018-06-10,IND,KEN,2:0,,Friendly 2018,True
44,2018-06-10,AUT,BRA,0:3,,Friendly 2018,False
45,2018-06-11,BEL,CRC,4:1,,Friendly 2018,False
46,2018-06-11,SEN,KOR,2:0,,Friendly 2018,True
47,2018-06-12,JPN,PAR,4:2,,Friendly 2018,True
48,2018-06-12,POL,LTU,4:0,,Friendly 2018,False
49,2018-06-14,RUS,KSA,5:0,,FIFA World Cup 2018,False
50,2018-06-15,MAR,IRN,0:1,,FIFA World Cup 2018,True
51,2018-06-15,EGY,URU,0:1,,FIFA World Cup 2018,True
52,2018-06-15,POR,ESP,3:3,,FIFA World Cup 2018,True
53,2018-06-16,CRO,NGA,2:0,,FIFA World Cup 2018,True
54,2018-06-16,ARG,ISL,1:1,,FIFA World Cup 2018,True
55,2018-06-16,FRA,AUS,2:1,,FIFA World Cup 2018,True
56,2018-06-16,PER,DEN,0:1,,FIFA World Cup 2018,True
57,2018-06-17,BRA,SUI,1:1,,FIFA World Cup 2018,True
58,2018-06-17,CRC,SRB,0:1,,FIFA World Cup 2018,True
59,2018-06-17,GER,MEX,0:1,,FIFA World Cup 2018,True
60,2018-06-18,SWE,KOR,1:0,,FIFA World Cup 2018,True
61,2018-06-18,BEL,PAN,3:0,,FIFA World Cup 2018,True
62,2018-06-18,TUN,ENG,1:2,,FIFA World Cup 2018,True
63,2018-06-19,RUS,EGY,3:1,,FIFA World Cup 2018,False
64,2018-06-19,COL,JPN,1:2,,FIFA World Cup 2018,True
65,2018-06-19,POL,SEN,1:2,,FIFA World Cup 2018,True
66,2018-06-20,IRN,ESP,0:1,,FIFA World Cup 2018,True
67,2018-06-20,URU,KSA,1:0,,FIFA World Cup 2018,True
68,2018-06-20,POR,MAR,1:0,,FIFA World Cup 2018,True
69,2018-06-21,ARG,CRO,0:3,,FIFA World Cup 2018,True
70,2018-06-21,DEN,AUS,1:1,,FIFA World Cup 2018,True
71,2018-06-21,FRA,PER,1:0,,FIFA World Cup 2018,True
72,2018-06-22,NGA,ISL,2:0,,FIFA World Cup 2018,True
73,2018-06-22,BRA,CRC,2:0,,FIFA World Cup 2018,True
74,2018-06-22,SRB,SUI,1:2,,FIFA World Cup 2018,True
